bits,group_size,bias_bits,index,value
2,2,8,141,0.025440320372581482
2,2,8,142,0.025440320372581482
2,2,8,143,0.025440320372581482
2,2,8,144,0.029354207217693329
2,2,8,145,0.029354207217693329
2,2,8,146,0.033268094062805176
2,2,8,147,0.033268094062805176
2,2,8,148,0.037181980907917023
2,2,8,149,0.037181980907917023
2,2,8,150,0.04109586775302887
2,2,8,151,0.04109586775302887
2,2,8,152,0.04109586775302887
2,2,8,153,0.045009784400463104
2,2,8,154,0.045009784400463104
2,2,8,155,0.048923671245574951
2,2,8,156,0.048923671245574951
2,2,8,157,0.052837558090686798
2,2,8,158,0.052837558090686798
2,2,8,159,0.052837558090686798
2,2,8,160,0.056751474738121033
2,2,8,161,0.056751474738121033
2,2,8,162,0.06066536158323288
2,2,8,163,0.06066536158323288
2,2,8,164,0.06066536158323288
2,2,8,165,0.064579248428344727
2,2,8,166,0.064579248428344727
2,2,8,167,0.068493135273456573
2,2,8,168,0.068493135273456573
2,2,8,169,0.07240702211856842
2,2,8,170,0.076320938766002655
2,2,8,171,0.076320938766002655
2,2,8,172,0.080234825611114502
2,2,8,173,0.080234825611114502
2,2,8,174,0.084148712456226349
2,2,8,175,0.084148712456226349
2,2,8,176,0.088062629103660583
2,2,8,177,0.09197651594877243
2,2,8,178,0.095890402793884277
2,2,8,179,0.095890402793884277
2,2,8,180,0.099804289638996124
2,2,8,181,0.10371817648410797
2,2,8,182,0.10371817648410797
2,2,8,183,0.10763209313154221
2,2,8,184,0.11154597997665405
2,2,8,185,0.11154597997665405
2,2,8,186,0.1154598668217659
2,2,8,187,0.11937378346920013
2,2,8,188,0.12328767031431198
2,2,8,189,0.12720155715942383
2,2,8,190,0.13111543655395508
2,2,8,191,0.13502933084964752
2,2,8,192,0.13894325494766235
2,2,8,193,0.1428571343421936
2,2,8,194,0.14677101373672485
2,2,8,195,0.15068493783473969
2,2,8,196,0.15459883213043213
2,2,8,197,0.15851271152496338
2,2,8,198,0.16242659091949463
2,2,8,199,0.16634048521518707
2,2,8,200,0.17416828870773315
2,2,8,201,0.1780821681022644
2,2,8,202,0.18590998649597168
2,2,8,203,0.20547944307327271
2,2,8,204,0.22896279394626617
2,2,8,205,0.26810175180435181
2,2,8,206,0.54207432270050049
2,2,8,207,0.58512717485427856
2,2,8,208,0.60078275203704834
2,2,8,209,0.61252444982528687
2,2,8,210,0.62426614761352539
2,2,8,211,0.63209390640258789
2,2,8,212,0.64383560419082642
2,2,8,213,0.65557730197906494
2,2,8,214,0.65949118137359619
2,2,8,215,0.66731894016265869
2,2,8,216,0.67514675855636597
2,2,8,217,0.68297457695007324
2,2,8,218,0.68688845634460449
2,2,8,219,0.69471621513366699
2,2,8,220,0.69863009452819824
2,2,8,221,0.70254403352737427
2,2,8,222,0.70645791292190552
2,2,8,223,0.71037179231643677
2,2,8,224,0.71428573131561279
2,2,8,225,0.72211349010467529
2,2,8,226,0.72602736949920654
2,2,8,227,0.72994124889373779
2,2,8,228,0.73385518789291382
2,2,8,229,0.73776906728744507
2,2,8,230,0.74168294668197632
2,2,8,231,0.74559688568115234
2,2,8,232,0.75342464447021484
2,2,8,233,0.75733852386474609
2,2,8,234,0.76125240325927734
2,2,8,235,0.76516634225845337
2,2,8,236,0.76908022165298462
2,2,8,237,0.77299410104751587
2,2,8,238,0.77690804004669189
2,2,8,239,0.78082191944122314
2,2,8,240,0.78864967823028564
2,2,8,241,0.79256355762481689
2,2,8,242,0.79647749662399292
2,2,8,243,0.80039137601852417
2,2,8,244,0.80821919441223145
2,2,8,245,0.8121330738067627
2,2,8,246,0.81604695320129395
2,2,8,247,0.8199608325958252
2,2,8,248,0.82778865098953247
2,2,8,249,0.83170253038406372
2,2,8,250,0.839530348777771
2,2,8,251,0.84344422817230225
2,2,8,252,0.85127198696136475
2,2,8,253,0.86301368474960327
2,2,8,254,0.8825831413269043
2,2,8,255,0.9099804162979126
3,2,2,0,-0.62035226821899414
3,2,2,1,-0.0058708339929580688
3,2,2,2,0.36203521490097046
3,2,2,3,0.65949118137359619
3,2,3,0,-0.65949118137359619
3,2,3,1,-0.3581213653087616
3,2,3,2,-0.064579255878925323
3,2,3,3,-0.021526440978050232
3,2,3,4,0.0176125168800354
3,2,3,5,0.06066536158323288
3,2,3,6,0.35812133550643921
3,2,3,7,0.65949118137359619
3,2,4,0,-0.87084150314331055
3,2,4,1,-0.65557730197906494
3,2,4,2,-0.60078275203704834
3,2,4,3,-0.38943246006965637
3,2,4,4,-0.33463799953460693
3,2,4,5,-0.072407029569149017
3,2,4,6,-0.03718198835849762
3,2,4,7,-0.0097847208380699158
3,2,4,8,0.0097847133874893188
3,2,4,9,0.037181980907917023
3,2,4,10,0.07240702211856842
3,2,4,11,0.33855187892913818
3,2,4,12,0.38943248987197876
3,2,4,13,0.60078275203704834
3,2,4,14,0.65557730197906494
3,2,4,15,0.87084150314331055
3,2,6,0,-0.9373776912689209
3,2,6,1,-0.9021526575088501
3,2,6,2,-0.8669276237487793
3,2,6,3,-0.839530348777771
3,2,6,4,-0.68297457695007324
3,2,6,5,-0.65949118137359619
3,2,6,6,-0.63600778579711914
3,2,6,7,-0.61643838882446289
3,2,6,8,-0.59295499324798584
3,2,6,9,-0.54990220069885254
3,2,6,10,-0.42465755343437195
3,2,6,11,-0.3933463990688324
3,2,6,12,-0.37377691268920898
3,2,6,13,-0.3581213653087616
3,2,6,14,-0.34637963771820068
3,2,6,15,-0.33463799953460693
3,2,6,16,-0.31898236274719238
3,2,6,17,-0.29941293597221375
3,2,6,18,-0.099804297089576721
3,2,6,19,-0.06849314272403717
3,2,6,20,-0.052837595343589783
3,2,6,21,-0.045009821653366089
3,2,6,22,-0.03718198835849762
3,2,6,23,-0.029354214668273926
3,2,6,24,-0.025440327823162079
3,2,6,25,-0.021526440978050232
3,2,6,26,-0.017612554132938385
3,2,6,27,-0.013698607683181763
3,2,6,28,-0.0097847208380699158
3,2,6,29,-0.0058708339929580688
3,2,6,30,-0.0019569471478462219
3,2,6,31,0.001956939697265625
3,2,6,32,0.0058708265423774719
3,2,6,33,0.0097847133874893188
3,2,6,34,0.013698630034923553
3,2,6,35,0.0176125168800354
3,2,6,36,0.021526403725147247
3,2,6,37,0.029354207217693329
3,2,6,38,0.033268094062805176
3,2,6,39,0.04109586775302887
3,2,6,40,0.045009784400463104
3,2,6,41,0.056751474738121033
3,2,6,42,0.07240702211856842
3,2,6,43,0.088062629103660583
3,2,6,44,0.10763209313154221
3,2,6,45,0.27592957019805908
3,2,6,46,0.30332678556442261
3,2,6,47,0.32289624214172363
3,2,6,48,0.33855187892913818
3,2,6,49,0.35029351711273193
3,2,6,50,0.36594909429550171
3,2,6,51,0.38943248987197876
3,2,6,52,0.42074364423751831
3,2,6,53,0.54990214109420776
3,2,6,54,0.58904111385345459
3,2,6,55,0.60861057043075562
3,2,6,56,0.62818002700805664
3,2,6,57,0.65166342258453369
3,2,6,58,0.67514675855636597
3,2,6,59,0.81604695320129395
3,2,6,60,0.8473581075668335
3,2,6,61,0.8747553825378418
3,2,6,62,0.90606653690338135
3,2,6,63,0.9452054500579834
3,2,8,0,-0.96086108684539795
3,2,8,1,-0.93346381187438965
3,2,8,2,-0.9178081750869751
3,2,8,3,-0.90606653690338135
3,2,8,4,-0.9021526575088501
3,2,8,5,-0.8943248987197876
3,2,8,6,-0.8904109001159668
3,2,8,7,-0.8825831413269043
3,2,8,8,-0.87866926193237305
3,2,8,9,-0.87084150314331055
3,2,8,10,-0.8669276237487793
3,2,8,11,-0.8590998649597168
3,2,8,12,-0.855185866355896
3,2,8,13,-0.8473581075668335
3,2,8,14,-0.839530348777771
3,2,8,15,-0.8317025899887085
3,2,8,16,-0.82387471199035645
3,2,8,17,-0.69080233573913574
3,2,8,18,-0.67514681816101074
3,2,8,19,-0.66340506076812744
3,2,8,20,-0.65557730197906494
3,2,8,21,-0.65166342258453369
3,2,8,22,-0.64774954319000244
3,2,8,23,-0.64383566379547119
3,2,8,24,-0.63992166519165039
3,2,8,25,-0.63600778579711914
