format,bits,group_size,bias_bits,scale_mode,scale_normalization,residual_scale,distortion
lloyd_max,8,64,6,,,,3.3564731893420685e-05
lloyd_max,8,64,8,,,,3.3051728451027884e-05
lloyd_max,2,128,,,,,0.12045888602733612
lloyd_max,2,128,2,,,,0.11498091369867325
lloyd_max,2,128,3,,,,0.11404672265052795
lloyd_max,2,128,4,,,,0.11346848681569099
lloyd_max,2,128,6,,,,0.11311790719628334
lloyd_max,2,128,8,,,,0.11303889565169811
lloyd_max,3,128,,,,,0.033823560923337936
lloyd_max,3,128,2,,,,0.031228763982653618
lloyd_max,3,128,3,,,,0.030640799552202225
lloyd_max,3,128,4,,,,0.030386773869395256
lloyd_max,3,128,6,,,,0.030124096898362041
lloyd_max,3,128,8,,,,0.030041808728128672
lloyd_max,4,128,,,,,0.0084906313568353653
lloyd_max,4,128,2,,,,0.0078157074749469757
lloyd_max,4,128,3,,,,0.0075967703014612198
lloyd_max,4,128,4,,,,0.0074992012232542038
lloyd_max,4,128,6,,,,0.007396704750135541
lloyd_max,4,128,8,,,,0.0073683569644344971
lloyd_max,6,128,,,,,0.00077449530363082886
lloyd_max,6,128,2,,,,0.00068195164203643799
lloyd_max,6,128,3,,,,0.00062729819910600781
lloyd_max,6,128,4,,,,0.00060200481675565243
lloyd_max,6,128,6,,,,0.00058241392252966762
lloyd_max,6,128,8,,,,0.00058156494742434006
lloyd_max,8,128,,,,,8.4895109466742724e-05
lloyd_max,8,128,2,,,,6.5037282183766365e-05
lloyd_max,8,128,3,,,,6.2512772274203598e-05
lloyd_max,8,128,4,,,,5.5840595450717956e-05
lloyd_max,8,128,6,,,,5.1441550112940604e-05
lloyd_max,8,128,8,,,,5.1428312644929974e-05
